好,1346
不错,350
偏,117
很棒,93
优越,87
好找,61
服务,52
房间,48
地铁站,40
距离,39
特别,36
便利,34
靠近,33
地铁,33
机场,33
交通,30
安静,30
酒店,28
环境,26
好离,25
偏僻,22
稍微,21
不好,19
优越性,18
算,18
超级,17
地铁口,17
出行,17
早餐,17
佳,16
外滩,15
设施,15
稍,15
真的,14
处于,14
很近,12
虹桥,12
闹中取静,12
出门,11
性价比,11
周边,10
不太好,10
还好,10
绝佳,10
远,9
太偏,9
卫生,9
楼下,9
浦东,8
干净,8
打车,8
号线,8
上海,8
火车站,7
找,7
偏离,7
虹桥机场,7
隐蔽,7
行,7
适合,7
市中心,7
号,7
极好,6
南浦大桥,6
极佳,6
住,6
不算,6
陆家嘴,6
特,6
超好,6
园区,6
停车,5
尴尬,5
停车场,5
还行,5
便捷,5
难,5
完美,5
装修,5
太,5
前台,5
前台服务,5
喜欢,5
门口,4
超,4
合适,4
吃,4
龙阳,4
棒,4
偏有,4
适中,4
徐家汇,4
临近,4
川沙,4
位置,4
价格,4
满意,4
偏远,4
有个,3
第一次,3
确实,3
整体,3
导航,3
差,3
略偏,3
稍稍,3
幽静,3
开车,3
展馆,3
唯一,3
旁边,3
推荐,3
算是,3
感觉,3
紧临,3
杠杠,3
肯定,3
很赞,3
不多,3
中心,3
一点,3
七宝,3
偏点,3
不佳,3
免费,3
高架,3
软件园,3
设计,3
韩国,3
床,2
市区,2
店员,2
略显,2
康城,2
东方明珠,2
小区,2
居民区,2
磁浮,2
不远,2
二号线,2
科技,2
客户,2
实在,2
价位,2
优,2
优势,2
稍远,2
好赞,2
张江,2
南京路,2
不太,2
餐厅,2
黄浦江,2
一出,2
高架桥,2
步行,2
有点儿,2
每次,2
民生路,2
晚上,2
显眼,2
没得说,2
方便快捷,2
不大好,2
新天地,2
一般般,2
换靠,2
点点,2
離,2
想象,2
总体,2
隔音,2
紧邻,2
玩,2
进门,2
标牌,2
国家,2
紧靠,2
赞,2
吃饭,2
商业街,2
吃喝,2
复旦大学,2
办事,2
出差,2
偏去,2
好且,2
繁华,2
地鐵口,2
好出,2
八佰伴,2
超赞,2
好吃,2
起眼,1
浦东国际机场,1
走路,1
海事,1
消费,1
虽小,1
难受,1
淮海,1
清静,1
温馨,1
靠着,1
路上,1
热闹,1
炒鸡,1
非常适合,1
风景,1
難,1
離虹橋,1
热门,1
爱琴海,1
走,1
紧凑,1
行李,1
饭馆,1
评价,1
黄埔,1
麦金农,1
设备,1
設計過,1
说,1
正修,1
马路,1
貌似,1
解除,1
步行街,1
比較,1
活动,1
氛围,1
水,1
江尘,1
视野,1
江边,1
没得,1
贵,1
没话说,1
著名,1
行走,1
赞到,1
洗澡水,1
环球,1
舒适,1
舒服,1
设置,1
硬件,1
金科,1
过年,1
离大,1
离得,1
绿,1
综合体,1
离着,1
私密性,1
绝好,1
细心,1
科技馆,1
配置,1
郊区,1
紫苏,1
符合,1
還是,1
第二天,1
选择,1
远不太,1
算大,1
篇,1
进,1
紧,1
镇上,1
边上,1
真是太,1
院内,1
梅龙镇,1
还算,1
班车,1
路线,1
理想,1
隐秘,1
理解,1
環境,1
自驾,1
自助,1
隐密,1
生活,1
门,1
用餐,1
陆家嘴金融贸易区,1
较差,1
老城区,1
老人,1
网速,1
直线,1
相对来说,1
相比,1
闹市,1
真心,1
金茂,1
200,1
标识,1
公共交通,1
剧院,1
剧场,1
利,1
几百米,1
再晚,1
内部,1
关系,1
公司,1
公交站,1
力,1
入口,1
入住,1
僻静,1
價錢貴,1
像是,1
偏大,1
值班,1
值得,1
剩下,1
办理,1
倒,1
周围环境,1
地段,1
地板,1
国展,1
商城,1
商场,1
商业中心,1
品牌,1
咨询,1
告知,1
北京,1
吃喝玩乐,1
号线秀,1
只能,1
去国,1
原因,1
南京,1
南,1
卓越,1
值,1
個,1
松江区,1
一级,1
不偏不倚,1
不值,1
不便,1
下次,1
下楼,1
上海体育馆,1
三环,1
一路,1
一点点,1
不处,1
一流,1
一星,1
一早,1
一大,1
checkin,1
SleepNoMore,1
L,1
Atour,1
不合理,1
不怎么样,1
修路,1
乐园,1
住宿,1
位于,1
会差,1
会展中心,1
五角场,1
云南,1
书香,1
乡下,1
主题,1
不錯,1
主动,1
主,1
临街,1
中心地段,1
两个,1
业,1
世博园,1
专车,1
垃圾场,1
外,1
外环,1
感谢,1
挺不错,1
挺不錯,1
拿到,1
找到,1
打电话,1
所处,1
房間,1
慌,1
想不到,1
挺棒,1
很难,1
很远,1
20502150,1
很差,1
开错,1
开会,1
康桥,1
帮忙,1
挺好吃,1
接近,1
外面,1
景点,1
条件,1
服務,1
有车,1
有吃有喝,1
最终,1
最佳,1
更好,1
晾,1
景区,1
接送,1
显得,1
明窗,1
早饭,1
早点,1
早,1
新装修,1
改进,1
摆渡,1
帮,1
布置,1
市内,1
好像,1
好白薇,1
好白微,1
好点,1
好棒,1
好峰,1
好好,1
好太美,1
好处,1
女朋友,1
巨,1
奇葩,1
奇怪,1
太糟,1
太棒了,1
太好了,1
太好,1
大楼,1
大堂,1
好距,1
好长卿,1
如厕,1
子恒子,1
工作人员,1
川沙镇,1
属,1
展会,1
尚可,1
少将,1
少,1
小暑,1
小巷子,1
小姑娘,1
对错,1
宽敞,1
客房,1
客人,1
宝贝,1
安亭镇,1
孩子,1
龙阳路,1
